sum.taxonomy	ASWS_B0	ASWS_E0	ASWS_H0	ASWS_K0	K0723_A1	K0723_B2	K0723_E4	K0723_G5	K0723_K6	K0723_L7	K0723_M8	K0723_T9	K0724_A1	K0724_B2	K0724_C3	K0724_E4	K0724_G5	K0724_K6	K0724_L7	K0724_M8	K0724_T9	K0725_A1	K0725_B2	K0725_C3	K0725_E4	K0725_G5	K0725_K6	K0725_L7	K0725_M8	K0725_T9	K0727_C3	K0727_E4	K0727_G5	K0727_K6	K0727_L7	K0727_M8	K0727_T9	K0740_B2	K0740_C3	K0740_E4	K0740_K6	K0810_C3	K0810_E4	K0810_G5	K0810_K6	K0810_L7	K0810_M8	K0810_T9	MWWS_B0	MWWS_E0	MWWS_H0	MWWS_K0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;Chloromonas sp. CCCryo208-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys culleus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys segnis	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	65	0	0	0	0	0	3
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys sp. Ru-6-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Microglena;Microglena monadina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	911	799	253	704
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	3	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	6	10	0	27	28	1	3	3	0	0	2	5	463	2	228
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;Chlamydomonadaceae sp. KMMCC 179	13	97	1094	4	297	0	0	0	0	0	3	0	0	0	0	0	0	3	2	3	1	154	0	0	0	110	1	0	0	0	0	13	0	0	0	3	1	226	274	12	416	136	27	40	242	112	43	72	17	19	6	12
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;Chlamydomonadaceae sp. MCWWS3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;Chlamydomonadaceae sp. MCWWS30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	286	0	0	0	0	0	0	1
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Vitreochlamys;Vitreochlamys nekrassovii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	0	1	0	1	0	1
